src_region,dst_region,edge_weight,edge_type
iM2,iIC,0.054165636492999394,ipsi
cM2,cIC,0.054165636492999394,contra_internal
iM2,iCauThal,0.007654135939361304,ipsi
cM2,cCauThal,0.007654135939361304,contra_internal
iM2,iM1,0.27246372661919427,ipsi
cM2,cM1,0.27246372661919427,contra_internal
iM2,iM,0.27997017757414866,ipsi
cM2,cM,0.27997017757414866,contra_internal
iM2,iDP,0.0903484593269447,ipsi
cM2,cDP,0.0903484593269447,contra_internal
iM2,iVO,0.02340640313608305,ipsi
cM2,cVO,0.02340640313608305,contra_internal
iM2,iPAG,0.07171980986221971,ipsi
cM2,cPAG,0.07171980986221971,contra_internal
iM2,iPRh,0.013330242378612302,ipsi
cM2,cPRh,0.013330242378612302,contra_internal
iM2,iPir,0.02572089834309992,ipsi
cM2,cPir,0.02572089834309992,contra_internal
iM2,iPrL,0.009264900335825407,ipsi
cM2,cPrL,0.009264900335825407,contra_internal
iM2,iVLThal,0.007380697596140034,ipsi
cM2,cVLThal,0.007380697596140034,contra_internal
iM2,iVMThal,0.03113468135849056,ipsi
cM2,cVMThal,0.03113468135849056,contra_internal
iM2,iSuC,0.07871166297586049,ipsi
cM2,cSuC,0.07871166297586049,contra_internal
iM2,iot,0.01197683488838664,ipsi
cM2,cot,0.01197683488838664,contra_internal
iM2,iSN,0.016961721868302998,ipsi
cM2,cSN,0.016961721868302998,contra_internal
iM2,iS1-b,0.10292162169428126,ipsi
cM2,cS1-b,0.10292162169428126,contra_internal
iM2,iTeA,0.030332372809549073,ipsi
cM2,cTeA,0.030332372809549073,contra_internal
iM2,iV,0.038402328273520574,ipsi
cM2,cV,0.038402328273520574,contra_internal
iM2,iV-b,0.017456568911263542,ipsi
cM2,cV-b,0.017456568911263542,contra_internal
iM2,iVTA,0.020780385183469675,ipsi
cM2,cVTA,0.020780385183469675,contra_internal
iM,iCg,0.011711248259763187,ipsi
cM,cCg,0.011711248259763187,contra_internal
iM,iAcb,0.03352471305326638,ipsi
cM,cAcb,0.03352471305326638,contra_internal
iM,iAI,0.03322227121760182,ipsi
cM,cAI,0.03322227121760182,contra_internal
iM,iAI-b,0.03245823505706311,ipsi
cM,cAI-b,0.03245823505706311,contra_internal
iM,iMDThal,0.010884345940774786,ipsi
cM,cMDThal,0.010884345940774786,contra_internal
iM,iDpMe,0.06985073294311457,ipsi
cM,cDpMe,0.06985073294311457,contra_internal
iM,iAu,0.014975577736443299,ipsi
cM,cAu,0.014975577736443299,contra_internal
iM,iCl,0.023172079286877784,ipsi
cM,cCl,0.023172079286877784,contra_internal
iM,iCPu,0.6349176644101567,ipsi
cM,cCPu,0.6349176644101567,contra_internal
iM,iPnO,0.019461318553669824,ipsi
cM,cPnO,0.019461318553669824,contra_internal
iM,iEct,0.01737215086405105,ipsi
cM,cEct,0.01737215086405105,contra_internal
iM,iLEnt,0.012758968556866751,ipsi
cM,cLEnt,0.012758968556866751,contra_internal
iM,iDEn,0.008559313792295676,ipsi
cM,cDEn,0.008559313792295676,contra_internal
iM,iIC,0.06424264795656075,ipsi
cM,cIC,0.06424264795656075,contra_internal
iM,iM1,0.2701903097897506,ipsi
cM,cM1,0.2701903097897506,contra_internal
iM,iM2,0.21380140090386668,ipsi
cM,cM2,0.21380140090386668,contra_internal
iM,iDP,0.04784735519528325,ipsi
cM,cDP,0.04784735519528325,contra_internal
iM,iVO,0.012392464369429949,ipsi
cM,cVO,0.012392464369429949,contra_internal
iM,iPAG,0.045611357185001894,ipsi
cM,cPAG,0.045611357185001894,contra_internal
iM,iPir,0.013024231055039429,ipsi
cM,cPir,0.013024231055039429,contra_internal
iM,iVMThal,0.04059607259158404,ipsi
cM,cVMThal,0.04059607259158404,contra_internal
iM,iSuC,0.06397926073134083,ipsi
cM,cSuC,0.06397926073134083,contra_internal
iM,iot,0.016392163741109363,ipsi
